Gene	TCGA-A6-3807	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A004	TCGA-AA-A00A	TCGA-AA-A00E	TCGA-AA-A00F	TCGA-AA-A00J	TCGA-AA-A00K	TCGA-AA-A00N	TCGA-AA-A00O	TCGA-AA-A00R	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A017	TCGA-AA-A01C	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01I	TCGA-AA-A01K	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02R	TCGA-AF-2691	TCGA-AF-2692	TCGA-AF-3400	TCGA-AF-3913	TCGA-AG-3574	TCGA-AG-3580	TCGA-AG-3584	TCGA-AG-3593	TCGA-AG-3594	TCGA-AG-4007	TCGA-AG-A002	TCGA-AG-A008	TCGA-AG-A00C	TCGA-AG-A00H	TCGA-AG-A00Y	TCGA-AG-A011	TCGA-AG-A014	TCGA-AG-A015	TCGA-AG-A016	TCGA-AG-A01J	TCGA-AG-A01L	TCGA-AG-A01N	TCGA-AG-A02X	TCGA-AG-A032
MRPL17	-1.41914	-1.41914	0.352023	0.352023	-1.41914	1.17557	1.4695	-0.30166	0.815819	-1.41914	0.815819	1.17557	-1.41914	-0.30166	-0.30166	-0.30166	-1.41914	0.352023	-0.30166	0.352023	-1.41914	0.815819	-1.41914	0.0580877	-0.30166	0.352023	0.352023	-1.41914	-0.30166	1.71802	-1.41914	2.12319	-1.41914	1.71802	0.352023	-1.41914	0.352023	-0.30166	0.352023	1.17557	0.352023	-0.30166	-0.30166	-1.41914	-1.41914	1.17557	-0.30166	-1.41914	-0.30166	0.352023	0.815819	0.815819	0.352023	-1.41914	-0.30166	-0.30166	0.352023	1.17557	1.17557	0.815819	-1.41914	1.4695	0.815819	1.17557	-0.30166	0.352023	1.17557	-0.30166	0.352023
MRPL19	-1.5935	-0.419055	0.267953	-0.419055	0.755392	0.755392	1.4424	0.267953	0.755392	-1.5935	1.4424	0.267953	-0.419055	-0.419055	-0.419055	0.267953	-1.5935	-1.5935	0.755392	-0.419055	-0.419055	0.755392	-0.419055	1.13348	-0.419055	-0.419055	0.267953	-0.419055	-1.5935	1.13348	-0.419055	1.4424	-1.5935	1.4424	1.13348	-1.5935	1.13348	-0.419055	-0.419055	0.755392	0.267953	1.4424	-0.419055	-1.5935	-0.419055	0.267953	1.70359	-1.5935	-0.419055	-1.5935	0.267953	0.267953	-1.5935	0.267953	1.70359	-1.5935	0.267953	1.13348	0.529141	0.267953	-0.419055	0.755392	-0.419055	1.13348	0.755392	0.755392	1.13348	-1.5935	-0.419055
MRPL20	0.232395	0.232395	0.232395	-1.58122	1.07568	-0.436956	1.37666	0.232395	1.07568	-0.436956	0.232395	1.07568	-0.436956	-1.58122	-0.436956	-1.58122	-1.58122	0.232395	1.07568	0.707307	-0.436956	0.232395	-0.436956	1.23302	-0.436956	-0.436956	0.232395	-1.58122	-1.58122	0.232395	0.232395	1.37666	-0.436956	1.63113	0.707307	-1.58122	0.707307	0.232395	-0.436956	1.37666	0.232395	1.07568	0.707307	-1.58122	-1.58122	0.707307	0.232395	-0.436956	-1.58122	-1.58122	0.707307	1.07568	0.232395	0.232395	0.232395	-1.58122	1.07568	0.707307	1.07568	0.707307	-1.58122	0.707307	0.232395	0.707307	-0.436956	0.707307	1.63113	-1.58122	-1.58122
MRPL21	-0.026232	-1.26064	-1.26064	0.695853	2.20479	-0.026232	2.20479	-1.26064	-1.26064	-0.026232	0.695853	-0.026232	-0.026232	2.20479	-0.026232	-0.026232	-1.26064	-1.26064	1.60557	-0.026232	-1.26064	1.20818	-1.26064	0.37116	-0.026232	-0.026232	-0.026232	-1.26064	-1.26064	0.695853	-1.26064	1.20818	0.695853	-0.026232	0.695853	-1.26064	-0.026232	0.695853	-0.026232	1.20818	0.695853	-1.26064	1.20818	1.60557	-1.26064	-1.26064	-0.026232	-1.26064	-0.026232	-0.026232	-0.026232	-0.026232	-1.26064	-0.026232	-1.26064	0.695853	-0.026232	0.695853	0.695853	1.60557	-1.26064	-0.026232	-0.026232	0.695853	-0.026232	-0.026232	1.60557	-1.26064	-0.026232
MRPL22	0.766498	-0.635934	-0.0153481	-1.69683	1.04555	0.424965	1.97327	-0.635934	0.424965	-0.635934	1.28149	0.766498	-0.0153481	-0.635934	-0.635934	-0.635934	-1.69683	-0.635934	1.28149	-0.0153481	-1.69683	1.04555	0.424965	-0.0153481	0.766498	-1.69683	-0.635934	-1.69683	-1.69683	0.766498	-0.0153481	1.48586	0.424965	1.04555	0.424965	-1.69683	-0.0153481	1.04555	-1.69683	1.28149	0.424965	0.424965	1.48586	-0.635934	-1.69683	-0.635934	0.766498	-1.69683	-0.635934	-0.0153481	-0.0153481	0.766498	0.424965	0.766498	-0.635934	-0.635934	0.766498	1.04555	0.220588	1.48586	-0.635934	0.766498	-0.0153481	0.424965	-0.635934	0.424965	1.48586	-1.69683	-0.0153481
MRPL24	0.0605822	0.0605822	0.845773	-1.28171	1.40287	0.0605822	0.845773	0.0605822	0.0605822	-1.28171	0.0605822	0.0605822	-1.28171	-1.28171	0.845773	0.845773	-1.28171	-1.28171	0.0605822	-1.28171	0.0605822	0.0605822	1.40287	0.492704	0.845773	-1.28171	0.0605822	0.0605822	-1.28171	1.40287	0.0605822	0.845773	0.0605822	1.835	1.40287	0.845773	0.845773	-1.28171	0.0605822	0.0605822	0.845773	-1.28171	0.0605822	-1.28171	0.0605822	-1.28171	0.845773	-1.28171	0.0605822	0.0605822	-1.28171	0.845773	-1.28171	1.40287	-1.28171	-1.28171	0.0605822	-1.28171	1.40287	2.48658	0.0605822	0.0605822	0.0605822	1.40287	-1.28171	0.0605822	1.40287	-1.28171	0.0605822
MRPL28	0.370855	-0.896894	-0.896894	-0.896894	-0.896894	0.370855	0.370855	0.370855	-0.896894	-0.896894	1.11244	-0.896894	0.370855	-0.896894	-0.896894	-0.896894	-0.896894	0.370855	1.11244	-0.896894	-0.896894	1.6386	-0.896894	0.778979	0.370855	1.11244	0.370855	0.370855	-0.896894	3.12177	-0.896894	2.04673	-0.896894	2.04673	0.370855	-0.896894	-0.896894	-0.896894	-0.896894	1.11244	0.370855	-0.896894	0.370855	0.370855	-0.896894	0.370855	0.370855	-0.896894	-0.896894	-0.896894	0.370855	-0.896894	1.11244	0.370855	-0.896894	-0.896894	1.11244	0.370855	0.370855	0.370855	1.6386	2.38019	-0.896894	-0.896894	-0.896894	1.11244	0.370855	-0.896894	0.370855
MRPL3	1.30273	0.733357	-0.0691339	-0.0691339	-0.0691339	-0.0691339	2.10523	0.733357	-1.441	-1.441	0.733357	-0.0691339	-0.0691339	-0.0691339	-1.441	0.733357	-1.441	0.733357	0.733357	-0.0691339	-1.441	-0.0691339	0.733357	0.372509	-0.0691339	1.30273	-0.0691339	-1.441	-1.441	0.733357	-0.0691339	1.74438	-1.441	-0.0691339	-0.0691339	-0.0691339	0.733357	-1.441	-0.0691339	-1.441	1.74438	-0.0691339	1.30273	-0.0691339	-1.441	1.30273	1.30273	-0.0691339	-1.441	-1.441	1.30273	-0.0691339	-1.441	-0.0691339	-1.441	0.733357	1.30273	-0.0691339	-0.0691339	0.733357	-0.0691339	0.733357	-0.0691339	-0.0691339	-1.441	-0.0691339	1.74438	-1.441	0.733357
MRPL37	0.97874	0.720946	0.720946	-0.914837	0.0713567	0.720946	1.20613	-0.914837	-0.359442	0.423345	0.423345	0.0713567	-0.359442	-0.359442	0.720946	-0.359442	-3.03581	-0.914837	0.720946	-0.914837	-3.03581	1.40954	1.20613	0.255361	0.720946	0.0713567	0.0713567	-1.26683	-3.03581	0.0713567	-0.132051	1.59354	-0.914837	0.720946	0.720946	-1.69762	0.423345	0.423345	0.423345	0.423345	0.97874	0.423345	1.40954	-0.914837	0.0713567	0.0713567	0.97874	-1.69762	0.423345	-0.914837	0.720946	0.720946	0.720946	0.423345	0.423345	-0.359442	-0.914837	0.0713567	0.423345	0.97874	0.0713567	0.423345	0.0713567	0.423345	-0.914837	0.423345	0.423345	-1.69762	-0.359442
MRPL38	-0.526278	0.285816	0.862005	-0.526278	-0.526278	0.285816	1.6741	-0.526278	-0.526278	-0.526278	0.285816	1.30893	-1.91456	-0.526278	0.285816	0.285816	-1.91456	0.862005	1.6741	0.862005	-0.526278	-0.526278	0.285816	0.285816	-0.526278	-0.526278	0.285816	0.285816	-1.91456	1.30893	0.285816	1.6741	0.285816	2.25029	0.862005	-1.91456	-0.526278	-0.526278	-0.526278	0.285816	-0.526278	-0.526278	0.285816	-1.91456	-1.91456	0.862005	-0.526278	-0.526278	-1.91456	-0.526278	0.862005	-0.526278	1.30893	-0.526278	0.285816	-0.526278	1.6741	0.285816	0.285816	0.862005	0.285816	0.862005	0.285816	0.862005	-0.526278	1.30893	0.862005	-0.526278	-1.91456
MRPL39	1.03295	1.03295	0.645417	-2.77555	-0.440376	0.171111	0.645417	-2.77555	1.03295	-1.30222	1.64444	1.36061	-0.440376	-1.30222	0.171111	-0.440376	-1.30222	-0.440376	0.171111	-1.30222	-0.440376	1.36061	0.645417	0.645417	0.171111	-0.440376	0.645417	-0.827912	-1.30222	1.03295	-0.827912	0.645417	-1.30222	0.645417	1.64444	-1.30222	-0.440376	0.645417	-0.440376	-0.440376	1.36061	0.171111	0.645417	0.171111	-0.440376	0.171111	0.645417	-1.30222	0.171111	-1.30222	-0.440376	1.36061	1.03295	0.645417	0.645417	-1.30222	0.171111	0.645417	0.421467	1.8948	-0.440376	0.171111	0.645417	0.171111	-1.30222	0.171111	0.645417	-1.30222	0.171111
MRPL4	0.415834	-0.000507034	-0.000507034	-2.58705	-0.000507034	1.29277	0.415834	0.415834	0.756009	0.756009	-0.000507034	0.415834	-0.000507034	-1.29378	-0.000507034	-0.000507034	-1.29378	0.415834	1.29277	0.415834	-1.29378	1.04362	0.415834	-0.24965	0.756009	0.415834	-1.29378	-1.29378	-0.537264	1.29277	-0.537264	1.51253	0.415834	1.70911	1.29277	-2.58705	-0.537264	0.756009	-0.537264	0.756009	0.756009	-1.29378	1.70911	-1.29378	-1.29378	0.415834	0.415834	-0.537264	0.756009	-1.29378	-0.000507034	0.756009	0.756009	0.415834	-0.537264	-0.537264	0.415834	-1.29378	0.219252	1.29277	-0.537264	0.415834	-0.000507034	-1.29378	-0.537264	0.756009	1.04362	-2.58705	-0.000507034
MRPL40	0.94381	0.50694	0.94381	0.50694	0.94381	-0.0562829	2.09458	-0.850101	-0.0562829	-0.850101	0.94381	0.94381	-2.20714	-0.0562829	0.94381	0.50694	-2.20714	-0.850101	-0.0562829	-0.850101	-2.20714	0.94381	-0.850101	0.737536	-0.850101	-0.850101	-0.0562829	-0.850101	-0.850101	1.30076	-2.20714	0.50694	-0.850101	0.94381	1.86398	-2.20714	-0.0562829	-0.0562829	0.50694	0.94381	0.50694	-0.0562829	0.94381	-0.850101	-0.850101	-0.0562829	0.94381	-0.850101	-0.850101	-0.850101	-0.0562829	0.50694	0.94381	1.30076	-0.0562829	-0.0562829	-0.850101	-0.0562829	0.50694	2.09458	0.50694	-0.0562829	-0.850101	-0.0562829	-0.850101	0.50694	0.94381	-0.0562829	0.50694
MRPL41	-0.437585	0.853046	0.853046	-1.72822	0.317386	0.317386	0.853046	0.853046	1.26854	0.317386	0.853046	0.853046	0.317386	0.317386	-0.437585	1.26854	-1.72822	0.317386	0.853046	-0.437585	-0.437585	0.317386	0.317386	1.446	-0.437585	0.317386	0.853046	-1.72822	-0.437585	1.26854	-0.437585	-0.437585	-0.437585	1.60802	-0.437585	-1.72822	1.26854	-0.437585	0.317386	0.317386	-0.437585	-1.72822	1.26854	0.317386	-1.72822	0.853046	1.26854	-1.72822	-0.437585	-0.437585	0.317386	-1.72822	-1.72822	-1.72822	0.317386	-0.437585	0.317386	0.853046	-0.437585	0.853046	-1.72822	1.26854	-1.72822	1.26854	-0.437585	0.853046	0.853046	-0.437585	-0.437585
MRPL43	1.15339	-1.72802	0.75389	0.238846	-0.487067	0.75389	1.4798	-1.72802	-0.487067	-0.487067	0.75389	1.75578	-1.72802	0.238846	0.238846	-0.487067	-1.72802	-1.72802	0.75389	-0.487067	-0.487067	1.15339	-0.487067	0.75389	0.238846	-1.72802	0.238846	-0.487067	0.238846	0.238846	0.238846	1.15339	-1.72802	1.15339	-0.487067	-1.72802	1.15339	0.238846	-1.72802	1.15339	1.15339	0.238846	0.75389	0.238846	-0.487067	0.75389	0.238846	-1.72802	-1.72802	-1.72802	0.238846	0.75389	0.238846	0.238846	0.75389	0.75389	0.238846	0.75389	-0.0875682	1.4798	0.75389	0.75389	-1.72802	0.75389	-0.487067	0.238846	0.75389	-0.487067	0.238846
MRPL44	1.29083	0.604857	0.308388	-3.1376	-0.47142	0.308388	1.0882	-0.47142	-0.0422608	-0.0422608	1.0882	-0.47142	-0.0422608	-1.0247	-1.0247	0.604857	-1.80451	-0.0422608	1.64148	-1.0247	-1.80451	1.29083	0.604857	-0.0422608	0.604857	-0.0422608	0.604857	-1.80451	-1.37535	1.0882	-0.244895	1.0882	0.308388	1.47413	1.0882	-1.80451	-0.47142	0.308388	-0.47142	-0.0422608	1.29083	-0.0422608	0.604857	-0.0422608	-0.0422608	0.604857	1.47413	0.308388	-0.47142	-1.80451	0.604857	0.308388	0.308388	0.604857	-0.47142	-1.80451	-0.0422608	-0.0422608	0.308388	1.47413	-0.47142	1.47413	-0.0422608	0.604857	-0.47142	0.308388	-1.0247	-1.80451	0.604857
MRPL46	0.0899459	-2.26934	0.0899459	-0.780797	0.0899459	-0.780797	0.707747	0.0899459	0.707747	0.0899459	0.707747	0.707747	0.0899459	-0.780797	0.707747	-0.780797	-2.26934	-0.780797	1.57849	-0.780797	-0.780797	0.707747	0.707747	0.0899459	0.707747	0.707747	0.707747	-2.26934	-2.26934	1.57849	-0.301592	0.0899459	-0.780797	0.707747	0.0899459	-2.26934	0.707747	0.0899459	0.0899459	0.707747	0.0899459	0.707747	1.18695	0.0899459	0.0899459	0.707747	0.0899459	-0.780797	-2.26934	0.707747	0.707747	0.0899459	1.18695	-0.780797	-0.780797	-0.780797	0.0899459	0.707747	-0.301592	1.18695	0.707747	1.18695	0.0899459	0.0899459	0.0899459	0.707747	1.90953	0.0899459	-2.26934
MRPL47	0.864254	0.203913	-0.924947	-0.924947	0.864254	-0.924947	1.69619	-0.924947	0.864254	-0.924947	1.99311	1.69619	0.864254	0.203913	-0.924947	0.203913	-0.924947	-0.924947	0.203913	-0.924947	0.203913	1.69619	0.203913	0.864254	-0.924947	0.203913	0.203913	-0.924947	-0.924947	1.99311	-0.924947	0.203913	0.203913	1.69619	-0.924947	-0.924947	0.864254	-0.924947	0.203913	1.69619	-0.924947	-0.924947	-0.924947	-0.924947	-0.924947	1.69619	-0.924947	0.203913	-0.924947	-0.924947	0.203913	-0.924947	-0.924947	0.203913	-0.924947	-0.924947	0.203913	0.203913	-0.924947	-0.924947	1.99311	1.99311	-0.924947	0.864254	0.203913	0.203913	0.864254	-0.924947	0.864254
MRPL49	0.331898	0.331898	-0.718319	-0.718319	0.331898	0.331898	1.90188	-0.140343	-0.140343	-0.718319	0.731172	0.331898	-0.718319	-1.46346	-0.140343	-0.140343	-4.30904	-1.46346	1.07704	0.331898	-1.46346	1.65501	0.331898	-0.413243	-0.140343	0.331898	-0.140343	-1.46346	-2.51368	0.731172	-0.413243	1.38211	0.331898	1.07704	0.331898	-0.718319	-0.718319	0.331898	-0.140343	0.731172	1.07704	-1.46346	1.07704	-0.140343	-0.140343	0.731172	0.331898	-1.46346	0.331898	-1.46346	0.331898	0.731172	0.731172	-0.140343	-0.718319	-0.140343	0.731172	0.331898	0.331898	1.07704	-0.140343	0.731172	0.731172	0.331898	0.331898	0.731172	1.38211	-0.718319	0.331898
MRPL53	1.1017	0.263284	0.263284	0.263284	1.1017	1.1017	2.15798	-1.17	0.263284	-1.17	1.69656	0.263284	0.263284	0.263284	0.263284	-1.17	-1.17	0.263284	0.263284	1.1017	-1.17	0.263284	0.263284	0.724697	0.263284	1.1017	-1.17	0.263284	-1.17	1.1017	0.263284	1.1017	-1.17	1.1017	1.1017	-1.17	1.1017	-1.17	0.263284	-1.17	-1.17	-1.17	1.1017	-1.17	-1.17	0.263284	0.263284	-1.17	-1.17	-1.17	1.1017	1.1017	0.263284	0.263284	0.263284	-1.17	-1.17	1.1017	0.724697	1.1017	0.263284	-1.17	-1.17	1.1017	-1.17	-1.17	1.69656	-1.17	-1.17
MRPL9	0.416126	0.648696	0.141054	-1.24137	-0.195607	-0.195607	1.02786	0.141054	0.141054	-0.629638	1.33061	-0.195607	0.416126	0.141054	-0.195607	-0.195607	-2.28713	-0.195607	1.02786	-0.195607	-1.24137	0.850157	0.648696	0.141054	0.648696	0.141054	-0.195607	-2.28713	-2.28713	1.46189	-0.629638	1.18682	0.141054	1.89592	1.02786	-0.195607	0.850157	0.141054	-0.195607	-0.629638	0.416126	-0.629638	0.850157	-2.28713	-0.629638	-1.24137	0.850157	-2.28713	-0.195607	-0.195607	0.416126	0.648696	0.141054	1.02786	-1.24137	-1.24137	0.648696	0.850157	-0.0179055	1.18682	-0.629638	1.02786	0.850157	0.648696	0.416126	-0.195607	1.58265	-2.28713	0.141054
MRPS17	0.298402	-0.492863	0.298402	-0.492863	-0.492863	-0.492863	-0.492863	-1.84554	1.29528	0.298402	1.29528	1.29528	1.29528	0.298402	-0.492863	0.298402	-1.84554	-0.492863	1.65108	0.859814	0.298402	0.859814	0.859814	0.599228	0.298402	0.859814	-1.84554	-0.492863	-0.492863	-0.492863	-0.0573983	1.29528	-0.492863	1.65108	0.298402	-1.84554	-0.492863	0.298402	0.298402	0.859814	0.298402	-1.84554	0.298402	-0.492863	-0.492863	0.859814	-0.492863	-1.84554	-0.492863	-0.492863	1.29528	0.298402	-0.492863	-1.84554	-1.84554	-0.492863	0.859814	-1.84554	0.298402	0.859814	1.29528	0.859814	-0.492863	0.298402	0.298402	1.29528	0.298402	-1.84554	1.29528
MRPS18A	0.873771	0.410244	-1.35989	-1.35989	-0.24306	0.410244	1.77545	-1.35989	0.873771	1.23331	-0.24306	-0.24306	-1.35989	-0.24306	-1.35989	-1.35989	-1.35989	-1.35989	1.52707	-1.35989	-0.24306	1.52707	0.410244	0.658619	0.873771	0.410244	-1.35989	-1.35989	-0.24306	0.410244	0.116479	1.52707	0.410244	1.23331	0.873771	-0.24306	-0.24306	0.410244	0.410244	1.52707	0.873771	0.410244	0.873771	-1.35989	-1.35989	-0.24306	0.410244	-1.35989	-0.24306	-0.24306	0.873771	1.23331	0.410244	0.410244	-1.35989	-0.24306	0.873771	0.873771	0.873771	1.52707	-1.35989	-1.35989	-0.24306	-0.24306	-0.24306	0.410244	1.52707	-1.35989	-1.35989
MRPS18B	1.02123	-2.14984	0.0147521	0.0147521	0.58157	-2.14984	1.02123	-2.14984	0.58157	-0.784133	0.58157	0.0147521	1.38046	0.58157	0.0147521	0.0147521	-2.14984	-0.784133	1.02123	0.0147521	0.0147521	0.58157	0.0147521	-0.344475	0.0147521	0.58157	0.58157	-0.784133	-2.14984	0.0147521	-0.344475	1.68418	0.0147521	1.02123	0.0147521	-0.784133	-0.784133	-0.784133	-2.14984	1.02123	1.38046	0.0147521	1.02123	-0.784133	-0.784133	0.58157	0.0147521	-0.784133	0.58157	-0.784133	1.68418	-2.14984	0.0147521	0.0147521	0.0147521	0.0147521	1.02123	1.02123	0.318474	1.68418	0.0147521	0.0147521	1.02123	0.0147521	-0.784133	0.0147521	1.68418	-0.784133	0.58157
MRPS22	1.601	-0.0212019	-0.530515	-0.530515	0.969544	-0.530515	0.373852	-1.24835	0.696635	-0.530515	-0.0212019	1.41447	1.41447	0.373852	0.373852	-0.0212019	-2.4755	-1.24835	1.20595	-0.0212019	-0.0212019	-0.0212019	0.969544	0.54259	0.373852	-1.24835	-1.24835	-0.530515	-0.530515	-0.0212019	0.696635	0.696635	-0.530515	2.06549	1.41447	-2.4755	-0.530515	-0.530515	-2.4755	-0.0212019	0.969544	0.373852	0.696635	-1.24835	-0.530515	-0.530515	0.696635	-1.24835	-0.0212019	-0.530515	-0.0212019	-0.0212019	-0.0212019	1.20595	-1.24835	-1.24835	0.373852	-0.530515	0.54259	1.76974	0.696635	0.696635	1.601	-0.0212019	-0.0212019	-0.0212019	1.601	-0.530515	-1.24835
MRPS23	1.00794	0.435152	0.435152	-3.13232	0.072142	0.072142	0.072142	0.072142	0.435152	0.072142	1.00794	1.00794	0.072142	-1.75223	0.072142	-0.372147	-1.75223	-1.75223	1.00794	0.072142	-0.372147	0.742073	-0.372147	0.594521	0.072142	0.072142	-0.372147	-1.75223	-3.13232	-0.372147	0.072142	0.742073	0.435152	0.435152	0.742073	-3.13232	0.742073	-0.372147	0.072142	0.742073	0.742073	0.435152	0.742073	-0.372147	-0.372147	0.072142	0.072142	-1.75223	0.435152	-0.944935	1.45223	0.742073	0.435152	0.742073	0.072142	-1.75223	1.00794	0.435152	0.435152	0.435152	0.435152	0.742073	1.00794	1.00794	0.072142	0.435152	0.435152	-0.372147	0.435152
MRPS25	0.95649	-0.357155	0.411278	-0.357155	0.95649	0.95649	0.411278	0.411278	0.411278	-0.357155	-1.6708	0.411278	0.411278	0.411278	0.411278	-0.357155	-1.6708	-1.6708	1.72492	0.95649	-1.6708	0.411278	0.411278	-0.357155	0.411278	-1.6708	-0.357155	-0.357155	-1.6708	0.411278	0.95649	0.411278	-0.357155	0.95649	0.95649	-1.6708	-1.6708	1.72492	0.411278	0.411278	0.411278	0.411278	0.411278	-1.6708	-1.6708	-0.357155	0.411278	-1.6708	-0.357155	0.95649	0.95649	-0.357155	-1.6708	-0.357155	-1.6708	0.411278	0.95649	-0.357155	1.17971	1.37939	0.411278	1.37939	1.37939	0.95649	-0.357155	0.411278	0.411278	-0.357155	-1.6708
MRPS27	0.399445	-1.37423	0.399445	-1.37423	0.752368	-0.589367	0.752368	-1.37423	-0.0324968	-0.589367	0.399445	0.752368	1.05076	-1.37423	-0.589367	-0.0324968	-1.37423	-1.37423	0.752368	-0.0324968	0.399445	-0.0324968	-0.589367	0.195497	0.752368	0.399445	-0.0324968	-2.71597	-2.71597	0.399445	0.195497	0.399445	-0.0324968	0.752368	0.752368	-1.37423	1.05076	0.399445	-0.589367	0.399445	1.30924	1.05076	1.30924	-0.0324968	-0.0324968	1.05076	-0.589367	-0.589367	0.399445	-1.37423	-0.589367	0.752368	-0.0324968	-1.37423	-0.589367	-2.71597	1.53723	0.752368	1.18431	1.05076	0.752368	0.399445	1.05076	1.53723	-0.589367	-0.0324968	1.30924	-0.0324968	-0.0324968
MRPS31	0.721929	-0.700532	-0.700532	0.375518	-0.700532	0.721929	-0.0710829	-0.700532	-0.0710829	0.721929	-0.0710829	0.721929	1.45157	0.721929	-0.0710829	-0.0710829	-1.77658	-1.77658	1.79798	-0.700532	0.721929	0.375518	-0.0710829	-0.0710829	0.375518	-0.0710829	-1.77658	-0.0710829	-1.77658	-0.700532	-0.700532	1.00497	-1.77658	-0.0710829	0.721929	-1.77658	-0.0710829	1.24427	0.375518	1.00497	1.45157	1.00497	0.721929	1.00497	-0.0710829	-0.700532	-0.0710829	-1.77658	0.721929	0.721929	1.00497	-0.0710829	0.721929	0.375518	-1.77658	0.375518	0.721929	-1.77658	0.721929	1.79798	-0.700532	0.375518	1.45157	-0.700532	-1.77658	1.00497	-0.0710829	-1.77658	0.375518
MRPS34	0.248396	-0.569869	-0.569869	-0.569869	-1.72315	0.248396	-1.72315	0.248396	0.248396	0.248396	1.40168	0.248396	0.883092	0.248396	0.248396	1.40168	-1.72315	-0.569869	1.84013	-0.569869	-0.569869	1.40168	0.248396	0.583411	-0.569869	-1.72315	0.883092	-1.72315	-1.72315	0.248396	-0.131412	0.248396	0.883092	1.84013	1.40168	-1.72315	0.883092	0.248396	0.883092	-0.569869	0.248396	-0.569869	1.40168	-1.72315	-1.72315	1.40168	0.248396	-0.569869	0.248396	-0.569869	1.84013	-0.569869	-0.569869	-0.569869	-0.569869	-1.72315	0.248396	-0.569869	-0.131412	0.248396	0.883092	1.84013	0.248396	0.248396	-0.569869	0.248396	-0.569869	0.248396	0.883092
MRPS35	1.13743	-0.24606	1.44511	0.328139	-0.24606	-0.24606	-0.24606	0.328139	0.773523	0.328139	1.71163	-0.24606	1.13743	-0.24606	-0.24606	0.328139	-1.05535	-1.05535	0.773523	0.328139	-0.24606	-0.24606	0.773523	-0.24606	0.773523	-2.43884	0.328139	-1.05535	-2.43884	0.328139	-1.05535	0.328139	0.328139	1.13743	1.13743	-2.43884	-0.24606	0.773523	-0.24606	0.328139	0.773523	-1.05535	1.13743	-1.05535	-2.43884	1.13743	0.773523	-0.24606	-0.24606	-2.43884	0.773523	-0.24606	-0.24606	-0.24606	0.328139	-1.05535	0.773523	-1.05535	0.563228	1.13743	-1.05535	0.773523	2.15701	-0.24606	-0.24606	-0.24606	0.328139	0.328139	0.773523
MRPS36	1.36854	0.19328	0.780908	-0.811276	-0.811276	1.00431	-1.81583	0.19328	-0.811276	0.516675	0.19328	-0.811276	0.19328	-1.81583	1.19784	1.00431	-1.81583	0.516675	0.19328	-0.811276	-0.811276	0.516675	1.00431	0.516675	1.00431	-1.81583	-0.811276	-0.811276	0.516675	1.00431	-0.000242617	0.780908	0.780908	1.19784	1.36854	-1.81583	-0.811276	0.780908	0.516675	-0.223648	1.19784	-0.223648	0.19328	-1.81583	0.19328	0.19328	0.19328	-1.81583	0.516675	0.780908	-1.81583	0.516675	0.19328	1.00431	-0.811276	-0.811276	-0.223648	-0.811276	0.896911	1.90147	0.19328	0.780908	0.19328	-1.81583	1.36854	0.516675	0.19328	-1.81583	0.19328
MRPS5	0.525391	-1.30211	-0.149085	-0.149085	0.525391	-1.30211	0.525391	-1.30211	1.00394	-0.149085	-0.149085	0.525391	1.00394	1.00394	0.525391	-0.149085	-1.30211	-1.30211	-0.149085	1.00394	-0.149085	-1.30211	0.525391	0.525391	-0.149085	-0.149085	-1.30211	-0.149085	-1.30211	-0.149085	0.525391	1.67842	-0.149085	1.00394	1.67842	-1.30211	0.525391	0.525391	-0.149085	2.35289	-0.149085	-1.30211	1.00394	-1.30211	-1.30211	1.00394	-1.30211	-1.30211	1.00394	-1.30211	1.67842	-0.149085	0.525391	-1.30211	-1.30211	-0.149085	1.00394	-1.30211	1.00394	1.00394	-0.149085	0.525391	1.00394	-1.30211	-0.149085	0.525391	1.93484	-1.30211	0.525391
MRPS7	0.553779	-0.208265	0.220896	-1.84716	-0.208265	0.553779	0.553779	0.220896	0.220896	-0.813133	1.05572	0.825764	0.220896	-0.813133	-0.208265	0.553779	-1.84716	-1.84716	1.72999	-0.813133	0.553779	0.220896	0.220896	1.25492	0.220896	-0.813133	-0.208265	-0.813133	-1.84716	-0.208265	-0.813133	1.72999	0.553779	0.825764	0.553779	-1.84716	0.220896	0.553779	-0.813133	0.553779	0.553779	1.05572	0.553779	-0.208265	-1.84716	0.553779	0.220896	0.553779	-0.813133	-1.84716	1.25492	0.220896	0.220896	-0.208265	-1.84716	-1.84716	0.825764	-0.813133	1.25492	0.825764	0.220896	1.05572	1.05572	-0.813133	0.553779	0.825764	1.85979	-1.84716	0.220896
